#survey         #redshift   #quantity      	#measurement 	#error		#correlation #z_d	#ref  
6dFGS          0.106       DV/rd          	2.9762        	0.1329     	0			 1020	# 1806.06781
#6dFGS           0.106       rd/DV          	0.336        	0.015     	0			 1020	# 1106.3366
#6dFGS           0.106       DV          	456             27     	    0			 1020	# 1106.3366
SDSS_MGS        0.15        DV/rd    		4.4657        	0.1681     	0			 1089	# 1409.3242
BOSS_DR12      	0.38       	DM*rdfid/rd 	1518        	22  		1			 1090	# 1607.03155
BOSS_DR12      	0.38       	H*rd/rdfid    	81.5			1.9  		1			 1090	# 1607.03155
BOSS_DR12       0.51        DM*rdfid/rd 	1977            27  		1			 1090	# 1607.03155
BOSS_DR12       0.51        H*rd/rdfid    	90.4			1.9         1			 1090	# 1607.03155
BOSS_DR12       0.61        DM*rdfid/rd 	2283        	32         	1			 1090	# 1607.03155
BOSS_DR12       0.61        H*rd/rdfid    	97.3			2.1   		1			 1090	# 1607.03155
BOSS_DR14       0.72        DV/rd    		16.08472        0.41278   	0			 1089	# Astrophys.J. 863 (2018) 110
eBOSS_QSO		0.978       DA*rdfid/rd 	1586.18			284.93		1			 1089	# 1801.03043
eBOSS_QSO		0.978       H*rd/rdfid  	113.72			14.63 		1			 1089	# 1801.03043
eBOSS_QSO  		1.23        DA*rdfid/rd 	1769.08			159.67 		1			 1089	# 1801.03043
eBOSS_QSO		1.23        H*rd/rdfid  	131.44			12.42 		1			 1089	# 1801.03043
eBOSS_QSO  		1.526       DA*rdfid/rd 	1768.77			96.59    	1			 1089	# 1801.03043
eBOSS_QSO		1.526       H*rd/rdfid   	148.11			12.75 		1			 1089	# 1801.03043
eBOSS_QSO  		1.944       DA*rdfid/rd 	1807.98			146.46 		1			 1089	# 1801.03043
eBOSS_QSO		1.944       H*rd/rdfid   	172.63			14.79 		1			 1089	# 1801.03043
eBOSS_Lyα 		2.34        DM/rd			37.41		    1.86 		0			 1089	# 1904.03400
eBOSS_Lyα 		2.34        DH/rd			8.86			0.29 		-0.34		 1089   # 1904.03400
eBoss_QSOxLyα   2.35        DM/rd    		36.3      		1.8 		0			 1089	# 1904.03430
eBoss_QSOxLyα   2.35        DH/rd    		9.20      		0.36 		-0.44		 1089   # 1904.03430
eBoss_combined  2.34        DM/rd    		37      		1.3 		0			 1089	# 1904.03430
eBoss_combined  2.34        DH/rd    		9.00      		0.22 		-0.40    	 1089	# 1904.03430
