# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  0.5113   29.05716   25.79321   -27.9524   -31.21634   0.03001   205043.60-010439.3  
  0.5124   30.19894   26.22662   -26.8128   -30.78513   0.03464   123129.03+154609.7  
  0.5178   29.89892   25.96538   -27.1238   -31.05734   0.02417   123835.50+174544.6  
  0.5184   29.76175   26.18302   -27.2622   -30.84093   0.04204   144944.22+630656.0  
  0.5186   30.06768   26.20957   -26.9565   -30.81461   0.02988   100324.56+021831.3  
  0.5217   30.28086   26.14822   -26.7497   -30.88234   0.01816   151651.32+064105.5  
  0.5258   30.00431   26.36742   -27.0344   -30.67129   0.00757   091029.03+542718.9  
  0.5349   29.86682   26.28833   -27.1898   -30.7683    0.02672   171126.93+585544.1  
  0.5371   29.37203   25.64729   -27.6889   -31.41365   0.06718   033910.48+002916.6  
  0.541    29.68392   25.89884   -27.3846   -31.16968   0.02042   150002.10+382650.2  
  0.5526   30.89301   26.24386   -26.1978   -30.84696   0.04313   014942.51+001501.7  
  0.5579   30.03763   26.24379   -27.0631   -30.85694   0.01694   150439.49+033134.6  
  0.5587   29.62957   25.90451   -27.4726   -31.19766   0.03536   112034.17+670912.5  
  0.57     29.27595   25.54196   -27.8474   -31.58139   0.06502   011741.12+002026.3  
  0.5746   29.86606   25.79333   -27.2657   -31.33843   0.04365   221451.26+000725.1  
  0.5752   29.40544   25.72515   -27.7274   -31.40768   0.05337   013448.86-002505.8  
  0.5806   29.83009   26.02099   -27.3126   -31.12171   0.038     075928.86+153146.2  
  0.5836   29.91338   26.18794   -27.2347   -30.96015   0.02039   102836.08+240401.8  
  0.5876   30.81815   26.93789   -26.3371   -30.21736   0.01066   121640.56+071224.3  
  0.5949   30.24296   26.00192   -26.9253   -31.16635   0.0554    092317.15+011352.5  
  0.5998   29.74287   26.14286   -27.434    -31.03401   0.02872   004250.54+010205.9  
  0.6091   29.83136   26.22172   -27.3618   -30.97143   0.01431   125903.93+344702.4  
  0.6125   30.34443   26.17953   -26.8546   -31.01949   0.02756   005918.23+002519.7  
  0.6162   30.2492    26.36744   -26.9561   -30.83786   0.01366   094009.63+033041.8  
  0.6192   29.97564   26.09716   -27.2348   -31.11328   0.03093   232759.96-105425.8  
  0.6198   29.8964    26.07503   -27.3152   -31.13657   0.03193   100155.29+324007.0  
  0.6239   29.52061   26.00736   -27.6979   -31.21115   0.06048   022837.85+002215.4  
  0.6257   30.54452   26.59576   -26.677    -30.62576   0.02103   105043.98+500329.2  
  0.6276   29.55523   26.10764   -27.6695   -31.11709   0.03834   025606.03+001634.8  
  0.6284   29.78351   26.29787   -27.4426   -30.92824   0.01416   101720.67+385738.1  
  0.6304   29.36594   25.56597   -27.8635   -31.66347   0.06138   010922.75-002621.1  
  0.6338   29.54212   25.64818   -27.693    -31.58694   0.06899   232803.53-001656.3  
  0.6373   30.1067    26.40612   -27.1343   -30.83489   0.04772   105253.84+340557.3  
  0.6389   29.92439   26.34121   -27.3192   -30.90237   0.01021   104923.02+500251.4  
  0.639    29.96849   25.72173   -27.2753   -31.52205   0.08422   233133.07-005609.1  
  0.6399   29.89918   26.14361   -27.3461   -31.10168   0.02549   115728.14+523835.4  
  0.6403   30.04342   26.3461    -27.2025   -30.89982   0.03573   153716.30+574838.6  
  0.6406   29.72258   25.89684   -27.5238   -31.34954   0.02343   121342.95+025248.9  
  0.6456   29.18632   26.00335   -28.0683   -31.25127   0.03042   090036.16+204830.5  
  0.646    30.95338   27.18003   -26.3019   -30.07525   0.00452   134749.86+582109.4  
  0.6492   29.85747   26.32984   -27.4031   -30.93073   0.02195   123049.10+013556.2  
  0.6492   30.0854    26.37692   -27.1752   -30.88368   0.02748   132307.68+655446.2  
  0.6494   29.84196   26.2707    -27.4189   -30.99016   0.02243   093234.97+290220.5  
  0.6501   30.39578   26.06562   -26.8662   -31.19636   0.01951   023057.39-010033.5  
  0.6556   30.44538   26.64257   -26.8255   -30.62831   0.01594   163255.52+373459.2  
  0.6578   30.03212   26.14597   -27.2424   -31.12854   0.0166    100232.13+023537.3  
  0.6583   30.18341   25.84115   -27.0919   -31.43417   0.06955   092702.19+363741.3  
  0.661    30.58964   26.77708   -26.6899   -30.50246   0.01045   144404.50+291412.2  
  0.6611   30.44039   26.52892   -26.8394   -30.75087   0.01719   020118.67-091935.7  
  0.6628   29.45131   25.73127   -27.8312   -31.55123   0.03765   104800.76+373113.7  
  0.6634   29.8902    26.00668   -27.3932   -31.27672   0.03609   120438.93+581353.3  
  0.6654   29.6511    26.02797   -27.6355   -31.25863   0.01955   030707.40-000424.0  
  0.6663   30.23814   26.29829   -27.0499   -30.98975   0.04042   140349.53+432010.0  
  0.675    29.97141   26.2469    -27.3304   -31.05491   0.02268   100309.43+554134.6  
  0.6828   29.97451   26.37111   -27.3395   -30.9429    0.03286   005946.66+000255.0  
  0.6882   29.57641   25.88884   -27.746    -31.43357   0.04141   141141.77+023350.0  
  0.6959   29.85292   26.15446   -27.4813   -31.17976   0.03391   164110.53+464911.8  
  0.6965   30.15164   26.38647   -27.1834   -30.94857   0.02959   113649.86+214704.0  
  0.6971   29.66745   26.12177   -27.6685   -31.21419   0.04251   233315.89-000452.8  
  0.6991   30.09648   26.40379   -27.2426   -30.93529   0.03958   100012.91+023522.8  
  0.7004   29.52724   25.84562   -27.8138   -31.49542   0.03647   222518.67+011243.5  
  0.7038   30.24053   25.93908   -27.1056   -31.40705   0.06896   130937.34-014950.4  
  0.7042   30.14116   26.52646   -27.2056   -30.82029   0.02772   090021.92+210803.7  
  0.7053   29.85925   26.43323   -27.4892   -30.91522   0.02249   150046.29+212919.4  
  0.706    30.06335   26.21345   -27.2861   -31.136     0.01977   233020.72+001727.6  
  0.708    30.04796   26.23682   -27.3046   -31.11574   0.02449   123133.00+121055.2  
  0.7129   29.55795   25.61775   -27.8019   -31.74209   0.08415   012334.10-002308.9  
  0.7166   30.68536   26.58141   -26.68     -30.78395   0.01934   125313.42+101926.4  
  0.7199   30.44768   26.12051   -26.9226   -31.24977   0.08804   013436.22+002624.4  
  0.7237   29.58178   26.10088   -27.7941   -31.275     0.02721   151510.10+562834.7  
  0.7269   30.00147   25.97226   -27.379    -31.40821   0.06335   113859.32+031145.3  
  0.7292   30.52366   26.78491   -26.8603   -30.59905   0.00836   002303.15+011533.6  
  0.7337   30.17857   26.20923   -27.2119   -31.18124   0.04842   013418.86-001406.2  
  0.7339   30.0323    26.37432   -27.3584   -31.01638   0.01084   122830.46+123617.8  
  0.7352   29.91124   26.23534   -27.4814   -31.1573    0.04466   203954.61-003924.2  
  0.7416   30.16438   26.10175   -27.2374   -31.30003   0.03071   154554.41+021944.4  
  0.7577   30.58465   26.61553   -26.8401   -30.80922   0.03613   150319.42+475206.8  
  0.7637   30.5365    27.05117   -26.8967   -30.38203   0.03346   080844.12+385053.4  
  0.7658   30.26652   26.14919   -27.1696   -31.28693   0.01478   122525.12+333650.7  
  0.767    30.06321   26.42085   -27.3745   -31.01686   0.01664   100001.44+024844.6  
  0.7694   29.78189   26.10786   -27.6592   -31.33323   0.01938   022838.62+003320.1  
