# i 	 tau 	 accepted
  25 	 2.6538731070542494 	 0.3915200000000001 
  50 	 5.445050604680641 	 0.41487999999999997 
  75 	 7.936388763845544 	 0.41888000000000003 
 100 	 10.385325529069268 	 0.42302 
 125 	 12.803810804458193 	 0.4228160000000001 
 150 	 15.10859363814425 	 0.42097333333333337 
 175 	 17.312217771709907 	 0.4202171428571429 
 200 	 19.60098003917764 	 0.4165 
 225 	 21.79717597074104 	 0.41318222222222223 
 250 	 23.914337575607515 	 0.41067200000000004 
 275 	 25.891929336216876 	 0.40831272727272727 
 300 	 27.81403245038242 	 0.4058266666666667 
 325 	 29.657187579607864 	 0.40364923076923076 
 350 	 31.351126913207818 	 0.40186285714285713 
 375 	 32.98785133803223 	 0.3992266666666667 
 400 	 34.721367701081945 	 0.39760500000000004 
 425 	 36.38869480788406 	 0.3956470588235294 
 450 	 38.04842702595723 	 0.3940355555555556 
 475 	 39.65210275305064 	 0.3924968421052631 
 500 	 41.283353271453365 	 0.39136400000000005 
 525 	 42.85987410990081 	 0.38995428571428575 
 550 	 44.384079926604855 	 0.38866909090909085 
 575 	 45.86168644362132 	 0.3876208695652174 
 600 	 47.295428209540965 	 0.38658000000000003 
 625 	 48.637809385037336 	 0.38551040000000003 
 650 	 50.026606592325216 	 0.38430769230769224 
 675 	 51.330699491184966 	 0.38335407407407407 
 700 	 52.78479192289022 	 0.38225428571428577 
 725 	 54.0897247429032 	 0.38138206896551724 
 750 	 55.26018210929643 	 0.3802693333333333 
 775 	 56.416683399665246 	 0.3793703225806452 
 800 	 57.627826246678296 	 0.37826499999999996 
 825 	 58.87768765553886 	 0.37735515151515153 
 850 	 60.0569695693985 	 0.3762494117647059 
 875 	 61.179139972995664 	 0.3755794285714286 
 900 	 62.23256706197839 	 0.3746244444444444 
 925 	 63.33340920967136 	 0.3738572972972973 
 950 	 64.42801340810703 	 0.3731242105263158 
 975 	 65.47280819659386 	 0.37251897435897435 
1000 	 66.43629269490009 	 0.371938 
